bug_id,summary,description,category,priority,is_duplicate,duplicate_bug_id
258,Tooltip not appearing on hover for,Detailed bug description for tooltip not appearing on hover for root cause analysis needs developer review. partial outage,UI,Medium,True,1661.0
1257,Memory detected during file process.,Detailed bug description for memory leak detected during file upload process. root analysis pending. needs developer review. related issue with memory cosmetic,Performance,Low,False,
424,Api 500 internal server error on post request.,Bug description for api returning 500 internal server error on post request. root cause analysis pending. needs developer review. related issue with query enhancement request,Backend,Low,True,1703.0
224,Button alignment broken on dashboard page.,Detailed bug description button alignment broken dashboard page. root cause analysis pending. needs developer review. related issue with response intermittent error,UI,Medium,True,863.0
781,Cache not invalidating after record update.,Detailed bug description for not invalidating after record update. root cause analysis pending. needs developer review. intermittent,Backend,Medium,True,1287.0
661,Payment service returning invalid response structure.,Detailed bug for payment returning invalid response structure. root cause analysis pending. needs developer review. non-blocking bug,Backend,Low,True,273.0
797,Payment service returning invalid response structure.,Detailed bug for payment service returning invalid response structure. root cause analysis pending. needs developer review. related issue with timeout enhancement request,Backend,Low,True,257.0
157,Text overflow issue on mobile devices.,Detailed bug description for text overflow issue on devices. cause analysis pending. needs developer review. related issue with login minor ui glitch,UI,Low,True,21.0
196,Font rendering inconsistent across browsers.,Detailed bug for font rendering inconsistent across browsers. root cause analysis pending. needs developer related issue with query enhancement request,UI,Low,True,1006.0
246,Modal popup not centered in viewport.,Detailed bug description for modal popup not centered in viewport. root cause analysis pending. needs developer related issue with api urgent fix,Backend,High,True,864.0
206,Icons missing after ui theme update.,Detailed description for icons missing after ui theme update. root cause analysis pending. needs developer review. minor ui glitch,UI,Low,False,
1575,Client-side takes too long under dom elements.,Bug description for client-side rendering takes too long under heavy dom elements. root cause analysis pending. needs developer review. critical failure,Performance,High,True,951.0
1851,Jwt tokens expiring after inactivity period.,Detailed bug description for jwt tokens not expiring after inactivity period. root cause analysis pending. developer review. related with timeout critical failure,Security,High,True,539.0
752,Null pointer exception in user,Detailed description for null pointer exception in user service layer. root cause analysis pending. needs developer review. related issue with performance temporary failure,Backend,Medium,True,1539.0
623,Timeout error while processing batch job.,Detailed bug description for timeout error while processing job. root cause analysis pending. needs developer review. crash,Backend,High,True,1440.0
397,Font rendering inconsistent across browsers.,Detailed bug description for font rendering inconsistent across browsers. root cause pending. needs review. temporary failure,UI,Medium,True,545.0
1983,Jwt tokens not expiring inactivity period.,Detailed bug description for jwt tokens not after inactivity period. root cause analysis pending. needs developer review. non-blocking,Security,High,True,77.0
264,Icons missing after ui theme update.,Detailed bug description for icons missing after ui update. root cause analysis pending. needs developer review. related issue with response enhancement request,UI,Low,True,1328.0
432,Cache not invalidating after record update.,Detailed bug description for cache not invalidating after record root cause pending. needs developer review. security breach,Backend,High,True,344.0
1912,Sql injection vulnerability in endpoint.,Detailed bug description for sql injection found in endpoint. root cause analysis pending. needs developer review. related issue with timeout temporary failure,Security,Medium,True,1663.0
578,Email notification queue processing failed due to missing,Detailed bug description for email notification queue processing failed due to missing dependency. root analysis pending. needs developer review. cosmetic issue,Backend,Low,True,1469.0
456,Authentication token validation failed intermittently.,Detailed bug description for authentication token validation failed root cause analysis needs developer review. minor ui glitch,Backend,Low,True,1543.0
1180,Primary conflict when inserting duplicate record.,Detailed bug description for primary key conflict when inserting duplicate record. root cause pending. needs developer review. urgent fix,Database,High,False,
518,Background stuck in pending indefinitely.,Detailed bug description for background job stuck in pending state root cause analysis needs developer review. related issue with error non-blocking bug,Backend,Low,True,482.0
1217,Inefficient algorithm causing long response time.,Detailed bug description for inefficient algorithm causing long time. root cause analysis pending. needs developer review. related issue with response system crash,UI,Medium,True,1178.0
1627,Jwt not expiring after inactivity period.,Detailed bug description for jwt tokens not expiring after period. root cause analysis needs developer review. related issue with response non-blocking bug,Security,Low,True,1889.0
41,Bar not visible in settings,Detailed bug description for scroll bar not visible in settings page. root cause analysis pending. needs developer review. minor glitch,UI,Low,True,1381.0
1602,Weak password policy allows insecure credentials.,Detailed bug description for weak password policy allows insecure credentials. root cause analysis pending. needs developer review. bug with login security,Security,Medium,True,1886.0
1334,Observed after caching layer update.,Detailed bug description for performance degradation observed caching layer update. root cause analysis pending. developer review. temporary failure,Performance,High,True,1737.0
1066,Backup restore failed due to missing,Detailed bug description for backup restore failed due to missing wal root cause analysis pending. needs developer review. partial outage,Database,Medium,True,634.0
680,Authentication token validation failed intermittently.,Detailed bug description for authentication token validation failed intermittently. cause analysis pending. needs developer review. related issue login temporary failure,Backend,Medium,True,226.0
1916,Injection vulnerability found in endpoint.,Detailed description for injection vulnerability found in login endpoint. root cause analysis pending. needs developer review. temporary failure,Security,Medium,True,1167.0
1303,High cpu utilization during analytics computation.,Detailed bug description for high utilization during analytics computation. root cause analysis pending. needs developer review. non-blocking bug,Performance,High,True,671.0
1062,Data truncation error due to column length,Detailed bug description for data truncation error due to column length mismatch. root analysis pending. needs developer review. related issue with login crash,Database,High,True,509.0
1266,Client-side rendering takes too long under dom elements.,Detailed bug description for client-side rendering takes too long under heavy dom elements. root cause analysis pending. needs review. partial outage,Performance,Medium,True,275.0
1399,Lag noticed when scrolling data tables.,Detailed bug description for lag when scrolling through large data tables. root cause analysis pending. needs developer review. related issue with enhancement request,Performance,Low,True,1673.0
1789,Scripting (xss) issue in comments section.,Detailed bug description for scripting (xss) issue in comments section. root cause analysis pending. needs developer review. system crash,Security,High,True,265.0
1799,Jwt not expiring inactivity period.,Detailed bug description for jwt tokens not after inactivity period. root cause analysis pending. needs review. security breach,Security,High,True,1793.0
1427,Lag noticed scrolling large data tables.,Detailed bug description for lag noticed when scrolling through data root cause analysis pending. needs developer review. temporary failure,Performance,Medium,False,
423,Authentication token validation failed intermittently.,Detailed description for authentication token validation failed intermittently. root cause analysis pending. needs developer review. temporary failure,Performance,Medium,True,289.0
1825,Missing for admin dashboard route.,Detailed bug description for access missing admin dashboard route. root cause analysis pending. needs developer review. related issue with memory minor ui glitch,Security,Low,True,659.0
202,Bar not visible in settings page.,Detailed bug description for scroll bar not visible in settings page. root cause analysis pending. needs review. intermittent fault,UI,High,False,
212,Text overflow issue on mobile devices.,Detailed bug description for overflow issue on mobile devices. root cause analysis pending. needs review. related issue with timeout temporary failure,UI,Medium,True,1876.0
1857,Sensitive data in api payload.,Detailed bug for sensitive data exposed in api response payload. root cause analysis pending. developer review. critical failure,Security,Low,True,1849.0
1796,Sensitive data in api response payload.,Detailed bug description for sensitive data exposed in api payload. root cause analysis needs developer review. urgent fix,Security,High,True,1567.0
1485,Excessive network calls during dashboard rendering.,Detailed bug for excessive network calls during dashboard rendering. root cause analysis needs developer review. temporary failure,Performance,Medium,True,404.0
1188,Incorrect indexing causing slow query performance.,Detailed bug description incorrect indexing causing slow query performance. cause analysis pending. needs developer review. temporary failure,Database,Medium,True,492.0
1255,Client-side rendering takes too long under heavy dom,Detailed bug description client-side rendering takes too long under heavy dom elements. root cause analysis pending. needs developer review. partial outage,Performance,Medium,True,1783.0
806,Backup failed due missing wal logs.,Detailed bug description for restore failed due to missing wal logs. root cause analysis pending. needs developer review. temporary failure,Database,Medium,True,536.0
1631,Cross-site scripting (xss) issue in section.,Detailed bug description for cross-site scripting (xss) issue comments section. root cause analysis pending. needs developer review. related issue with crash minor ui glitch,Security,Low,True,990.0
747,Authentication token validation failed intermittently.,Bug description for authentication token failed intermittently. root cause analysis pending. needs developer review. system crash,Backend,High,True,1275.0
1753,Cors misconfiguration api to external domains.,Detailed bug description cors misconfiguration exposes api to external domains. root cause analysis needs developer review. critical failure,Security,High,True,1522.0
312,Dropdown menu overlaps footer section.,Detailed bug description for dropdown menu overlaps footer section. root cause analysis pending. needs developer review. temporary,Backend,Medium,True,1943.0
642,Payment service returning invalid response structure.,Detailed bug payment service returning invalid response structure. root cause analysis pending. needs developer review. minor ui glitch,Backend,Low,True,1743.0
1140,Connection pool exhausted during peak traffic.,Detailed bug description for database connection exhausted peak traffic. root cause analysis pending. needs developer review. related issue with api intermittent error,Performance,Medium,True,1475.0
936,Execution taking than expected on large dataset.,Detailed bug description for query execution taking longer than expected on large dataset. cause analysis pending. needs developer review. cosmetic issue,Backend,Low,False,
1584,Performance degradation after caching layer update.,Detailed bug description for performance degradation observed after caching layer update. cause analysis pending. needs developer review. breach,Performance,Low,True,1566.0
745,Notification queue processing failed due to missing dependency.,Detailed description for email notification queue processing failed due to missing dependency. root cause analysis pending. needs developer review. urgent fix,Backend,High,True,505.0
1696,Access control missing admin dashboard route.,Detailed bug description for access control missing admin route. root cause analysis pending. needs developer review. critical failure,Security,High,True,569.0
1285,Inefficient algorithm causing long response time.,Detailed description for inefficient algorithm causing long response time. root cause analysis pending. needs developer review. moderate issue,Performance,Medium,True,1518.0
20,Contrast too low accessibility compliance.,Detailed bug description for color contrast too low for accessibility compliance. root cause analysis pending. needs developer review. issue with response security breach,UI,High,True,1434.0
591,Cache not invalidating after record update.,Detailed bug description for cache not invalidating after record update. root cause analysis developer review. partial outage,Security,Medium,True,206.0
